geo_code,dicofre,geo_name,geo_level,period,value_eur_m2,dwelling_type,flag
1960904,0904,Figueira de Castelo Rodrigo,municipio,2019Q4,145,Existentes,
1960904,0904,Figueira de Castelo Rodrigo,municipio,2019Q4,156,Total,
1920606,0606,Góis,municipio,2019Q4,207,Existentes,
1920612,0612,Pampilhosa da Serra,municipio,2019Q4,208,Existentes,
1960909,0909,Mêda,municipio,2019Q4,211,Existentes,
1960903,0903,Celorico da Beira,municipio,2019Q4,214,Total,
1960910,0910,Pinhel,municipio,2019Q4,217,Existentes,
1960910,0910,Pinhel,municipio,2019Q4,219,Total,
1960903,0903,Celorico da Beira,municipio,2019Q4,222,Existentes,
2004401,4401,Santa Cruz da Graciosa,municipio,2019Q4,223,Existentes,
1C31205,1205,Castelo de Vide,municipio,2019Q4,235,Existentes,
1950507,0507,Penamacor,municipio,2019Q4,241,Existentes,
11D1801,1801,Armamar,municipio,2019Q4,243,Existentes,
1C31215,1215,Sousel,municipio,2019Q4,243,Existentes,
1C31205,1205,Castelo de Vide,municipio,2019Q4,244,Total,
1950507,0507,Penamacor,municipio,2019Q4,247,Total,
1C31215,1215,Sousel,municipio,2019Q4,249,Total,
2004401,4401,Santa Cruz da Graciosa,municipio,2019Q4,249,Total,
1920612,0612,Pampilhosa da Serra,municipio,2019Q4,253,Total,
11D1710,1710,Sabrosa,municipio,2019Q4,255,Existentes,
1C31208,1208,Fronteira,municipio,2019Q4,255,Total,
1C40701,0701,Alandroal,municipio,2019Q4,256,Existentes,
1950505,0505,Idanha-a-Nova,municipio,2019Q4,258,Existentes,
1C20209,0209,Mértola,municipio,2019Q4,258,Total,
1C20209,0209,Mértola,municipio,2019Q4,258,Existentes,
1920606,0606,Góis,municipio,2019Q4,259,Total,
1D21413,1413,Mação,municipio,2019Q4,262,Total,
1960911,0911,Sabugal,municipio,2019Q4,266,Existentes,
1950505,0505,Idanha-a-Nova,municipio,2019Q4,267,Total,
1960911,0911,Sabugal,municipio,2019Q4,268,Total,
1C31202,1202,Arronches,municipio,2019Q4,268,Total,
1C31202,1202,Arronches,municipio,2019Q4,268,Existentes,
1D21413,1413,Mação,municipio,2019Q4,268,Existentes,
1960906,0906,Gouveia,municipio,2019Q4,270,Existentes,
1C20207,0207,Cuba,municipio,2019Q4,272,Total,
1C20207,0207,Cuba,municipio,2019Q4,272,Existentes,
1960906,0906,Gouveia,municipio,2019Q4,280,Total,
1960913,0913,Trancoso,municipio,2019Q4,280,Existentes,
1950506,0506,Oleiros,municipio,2019Q4,281,Total,
1C31209,1209,Gavião,municipio,2019Q4,281,Existentes,
1C40701,0701,Alandroal,municipio,2019Q4,281,Total,
11D1801,1801,Armamar,municipio,2019Q4,283,Total,
1C31209,1209,Gavião,municipio,2019Q4,283,Total,
11C1804,1804,Cinfães,municipio,2019Q4,284,Existentes,
1960902,0902,Almeida,municipio,2019Q4,287,Existentes,
1950511,0511,Vila Velha de Ródão,municipio,2019Q4,290,Existentes,
1C31212,1212,Nisa,municipio,2019Q4,295,Existentes,
1960913,0913,Trancoso,municipio,2019Q4,299,Total,
11D0409,0409,Torre de Moncorvo,municipio,2019Q4,300,Existentes,
1950510,0510,Vila de Rei,municipio,2019Q4,300,Total,
1941811,1811,Penalva do Castelo,municipio,2019Q4,301,Existentes,
11E0410,0410,Vila Flor,municipio,2019Q4,302,Existentes,
1C31212,1212,Nisa,municipio,2019Q4,304,Total,
1C31211,1211,Monforte,municipio,2019Q4,309,Existentes,
11D1815,1815,São João da Pesqueira,municipio,2019Q4,311,Existentes,
2004501,4501,Calheta (R.A.A.),municipio,2019Q4,311,Total,
1C31211,1211,Monforte,municipio,2019Q4,313,Total,
11E0401,0401,Alfândega da Fé,municipio,2019Q4,314,Total,
11D1807,1807,Moimenta da Beira,municipio,2019Q4,315,Existentes,
1931013,1013,Pedrógão Grande,municipio,2019Q4,315,Existentes,
1960902,0902,Almeida,municipio,2019Q4,317,Total,
11D0409,0409,Torre de Moncorvo,municipio,2019Q4,320,Total,
1950511,0511,Vila Velha de Ródão,municipio,2019Q4,321,Total,
11D1819,1819,Tabuaço,municipio,2019Q4,322,Total,
1C40709,0709,Portel,municipio,2019Q4,323,Existentes,
11D1701,1701,Alijó,municipio,2019Q4,328,Existentes,
1950508,0508,Proença-a-Nova,municipio,2019Q4,331,Existentes,
