geo_code,dicofre,geo_name,geo_level,period,value_eur_m2,dwelling_type,flag
1960913,0913,Trancoso,municipio,2020Q1,1.73,,
11E0410,0410,Vila Flor,municipio,2020Q1,1.74,,
1960903,0903,Celorico da Beira,municipio,2020Q1,1.77,,
1960910,0910,Pinhel,municipio,2020Q1,1.96,,
1960902,0902,Almeida,municipio,2020Q1,1.99,,
1960501,0501,Belmonte,municipio,2020Q1,2,,
11D1807,1807,Moimenta da Beira,municipio,2020Q1,2.02,,
11D0914,0914,Vila Nova de Foz Côa,municipio,2020Q1,2.08,,
11E0405,0405,Macedo de Cavaleiros,municipio,2020Q1,2.1,,
11D1820,1820,Tarouca,municipio,2020Q1,2.19,,
1941817,1817,Sátão,municipio,2020Q1,2.2,,
11E0406,0406,Miranda do Douro,municipio,2020Q1,2.3,,
1960906,0906,Gouveia,municipio,2020Q1,2.32,,
1950508,0508,Proença-a-Nova,municipio,2020Q1,2.36,,
1C31204,1204,Campo Maior,municipio,2020Q1,2.38,,
11B1712,1712,Valpaços,municipio,2020Q1,2.4,,
1931002,1002,Alvaiázere,municipio,2020Q1,2.42,,
1191705,1705,Mondim de Basto,municipio,2020Q1,2.46,,
11C1307,1307,Marco de Canaveses,municipio,2020Q1,2.5,,
1920617,0617,Vila Nova de Poiares,municipio,2020Q1,2.51,,
1190309,0309,Póvoa de Lanhoso,municipio,2020Q1,2.52,,
11A131434,131434,Vila Nova do Campo,freguesia,2020Q1,2.52,,
11E0408,0408,Mogadouro,municipio,2020Q1,2.53,,
1921808,1808,Mortágua,municipio,2020Q1,2.54,,
11C0305,0305,Celorico de Basto,municipio,2020Q1,2.55,,
11D0409,0409,Torre de Moncorvo,municipio,2020Q1,2.56,,
11D1701,1701,Alijó,municipio,2020Q1,2.56,,
1941803,1803,Castro Daire,municipio,2020Q1,2.57,,
11C1804,1804,Cinfães,municipio,2020Q1,2.6,,
1960911,0911,Sabugal,municipio,2020Q1,2.61,,
11C1303,1303,Felgueiras,municipio,2020Q1,2.62,,
1C40703,0703,Borba,municipio,2020Q1,2.62,,
1190304,0304,Cabeceiras de Basto,municipio,2020Q1,2.63,,
11E,,Terras de Trás-os-Montes,nuts3,2020Q1,2.65,,
11C1302,1302,Baião,municipio,2020Q1,2.66,,
11C1305,1305,Lousada,municipio,2020Q1,2.66,,
1960912,0912,Seia,municipio,2020Q1,2.66,,
1D31407,1407,Chamusca,municipio,2020Q1,2.67,,
1941806,1806,Mangualde,municipio,2020Q1,2.69,,
1941809,1809,Nelas,municipio,2020Q1,2.69,,
1950509,0509,Sertã,municipio,2020Q1,2.69,,
1941802,1802,Carregal do Sal,municipio,2020Q1,2.71,,
1111606,1606,Ponte da Barca,municipio,2020Q1,2.72,,
11A131024,131024,Vilela,freguesia,2020Q1,2.73,,
1920611,0611,Oliveira do Hospital,municipio,2020Q1,2.73,,
1111605,1605,Paredes de Coura,municipio,2020Q1,2.75,,
1190307,0307,Fafe,municipio,2020Q1,2.75,,
11C,,Tâmega e Sousa,nuts3,2020Q1,2.75,,
11C1301,1301,Amarante,municipio,2020Q1,2.76,,
1D31404,1404,Alpiarça,municipio,2020Q1,2.76,,
1111601,1601,Arcos de Valdevez,municipio,2020Q1,2.79,,
1920609,0609,Miranda do Corvo,municipio,2020Q1,2.79,,
1941814,1814,Santa Comba Dão,municipio,2020Q1,2.8,,
1910117,0117,Sever do Vouga,municipio,2020Q1,2.82,,
1960504,0504,Fundão,municipio,2020Q1,2.82,,
1C3,,Alto Alentejo,nuts3,2020Q1,2.83,,
1D21402,1402,Alcanena,municipio,2020Q1,2.85,,
11D1805,1805,Lamego,municipio,2020Q1,2.86,,
1931003,1003,Ansião,municipio,2020Q1,2.86,,
1C31214,1214,Portalegre,municipio,2020Q1,2.88,,
11E0407,0407,Mirandela,municipio,2020Q1,2.89,,
1920615,0615,Soure,municipio,2020Q1,2.89,,
11A011320,011320,União das freguesias de Nogueira do Cravo e Pindelo,freguesia,2020Q1,2.9,,
