Fonte: www.ine.pt – Sistema de metainformação
Exportação de categorias - Data de extração: 15-09-2026.

Família,Territoriais
Classificação,Tipologia de áreas urbanas
Versão,"V05635 - Tipologia de áreas urbanas, 2025"
Tipo de exportação,Total
Data de referência,15-09-2026

Nível,Código,Designação
1,APU,Área predominantemente urbana
2,APU0101A,Águeda
3,010121,União das freguesias de Águeda e Borralha
3,010122,União das freguesias de Barrô e Aguada de Baixo
3,010126,"União das freguesias de Trofa, Segadães e Lamas do Vouga"
2,APU0101B,Fermentelos
3,010109,Fermentelos
2,APU0102A,Albergaria-a-Velha
3,010209,Albergaria-a-Velha e Valmaior
2,APU0103A,Anadia
3,010304,Avelãs de Caminho
3,010317,União das freguesias de Arcos e Mogofores
2,APU0104A,Arouca
3,010421,União das freguesias de Arouca e Burgo
2,APU0105A,Aveiro
3,010501,Aradas
3,010505,Esgueira
3,010510,São Bernardo
3,010513,Santa Joana
3,010517,União das freguesias de Glória e Vera Cruz
2,APU0106A,Castelo de Paiva
3,010611,União das freguesias de Sobrado e Bairros
2,APU0107A,Espinho
3,010702,Espinho
3,010704,Paramos
3,010705,Silvalde
3,010706,União das freguesias de Anta e Guetim
2,APU0108A,Estarreja
3,010806,Salreu
3,010808,União das freguesias de Beduído e Veiros
2,APU0109A,Santa Maria da Feira
3,010901,Argoncilhe
3,010902,Arrifana
3,010904,Escapães
3,010907,Fiães
3,010908,Fornos
3,010913,Lourosa
3,010914,Milheirós de Poiares
3,010916,Mozelos
3,010917,Nogueira da Regedoura
3,010918,São Paio de Oleiros
3,010919,Paços de Brandão
3,010921,Rio Meão
3,010924,Sanguedo
3,010925,Santa Maria de Lamas
3,010926,São João de Ver
3,010932,União das freguesias de Caldas de São Jorge e Pigeiros
3,010933,"União das freguesias de Canedo, Vale e Vila Maior"
3,010934,"União das freguesias de Lobão, Gião, Louredo e Guisande"
3,010935,"União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo"
3,010936,União de freguesias de São Miguel de Souto e Mosteirô
2,APU0110A,Ílhavo
3,011005,Gafanha da Encarnação
3,011006,Gafanha da Nazaré
3,011007,Gafanha do Carmo
3,011008,Ílhavo (São Salvador)
2,APU0111A,Mealhada
3,011109,"União das freguesias da Mealhada, Ventosa do Bairro e Antes"
2,APU0111B,Pampilhosa
3,011106,Pampilhosa
2,APU0112A,Murtosa
3,011202,Monte
3,011203,Murtosa
2,APU0113B,Fajões
3,011303,Fajões
2,APU0113A,Oliveira de Azeméis
3,011304,Loureiro
3,011305,Macieira de Sarnes
3,011318,São Roque
3,011319,Vila de Cucujães
3,011321,"União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail"
2,APU0114A,Oliveira do Bairro
3,011404,Oliveira do Bairro
2,APU0115A,Ovar
3,011502,Cortegaça
3,011503,Esmoriz
3,011504,Maceda
3,011509,"União das freguesias de Ovar, São João, Arada e São Vicente de Pereira Jusã"
2,APU0116A,São João da Madeira
3,011601,São João da Madeira
2,APU0118A,Vagos
3,011814,União das freguesias de Vagos e Santo António
2,APU0119A,Vale de Cambra
3,011906,Macieira de Cambra
3,011910,"União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho"
2,APU0201A,Aljustrel 
3,020106,União das freguesias de Aljustrel e Rio de Moinhos
2,APU0205A,Beja
3,020520,União das freguesias de Beja (Salvador e Santa Maria da Feira)
3,020521,União das freguesias de Beja (Santiago Maior e São João Baptista)
2,APU0206A,Castro Verde 
3,020606,União das freguesias de Castro Verde e Casével
2,APU0210A,Moura
3,021009,União das freguesias de Moura (Santo Agostinho e São João Baptista) e Santo Amador
2,APU0213A,Serpa
3,021308,União das freguesias de Serpa (Salvador e Santa Maria)
2,APU0301A,Amares
3,030125,União das freguesias de Amares e Figueiredo
3,030127,"União das freguesias de Ferreiros, Prozelo e Besteiros"
2,APU0301B,Rendufe
3,030118,Rendufe
2,APU0302A,Balugães 
3,030212,Balugães
2,APU0302B,Barcelos
3,030208,Alvelos
3,030209,Arcozelo
3,030213,Barcelinhos
3,030220,Carvalhal
3,030243,Lijó
3,030245,Manhente
3,030268,Galegos (Santa Maria)
3,030272,Galegos (São Martinho)
3,030277,Tamel (São Veríssimo)
3,030293,"União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro)"
2,APU0302E,"Martim, Pousa e Ucha"
3,030247,Martim
3,030261,Pousa
3,030282,Ucha
2,APU0302D,Perelhal 
3,030260,Perelhal
2,APU0302C,Várzea (Barcelos)
3,030283,Várzea
2,APU0303A,Braga
3,030301,Adaúfe
3,030313,Esporões
3,030315,Figueiredo
3,030319,Gualtar
3,030322,Lamas
3,030325,Mire de Tibães
3,030330,Padim da Graça
3,030331,Palmeira
3,030349,Braga (São Vicente)
3,030351,Braga (São Vítor)
3,030354,Sequeira
3,030356,Tadim
3,030364,"União das freguesias de Braga (Maximinos, Sé e Cividade)"
3,030365,União das freguesias de Braga (São José de São Lázaro e São João do Souto)
3,030366,União das freguesias de Cabreiros e Passos (São Julião)
3,030367,"União das freguesias de Celeirós, Aveleda e Vimieiro"
3,030370,União das freguesias de Este (São Pedro e São Mamede)
3,030371,União das freguesias de Ferreiros e Gondizalves
3,030373,União das freguesias de Lomar e Arcos
3,030374,"União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães"
3,030375,União das freguesias de Merelim (São Pedro) e Frossos
3,030377,"União das freguesias de Nogueira, Fraião e Lamaçães"
3,030378,União das freguesias de Nogueiró e Tenões
3,030379,"União das freguesias de Real, Dume e Semelhe"
3,030381,União das freguesias de Vilaça e Fradelos
2,APU0303B,Tebosa 
3,030357,Tebosa
2,APU0304A,Cabeceiras de Basto
3,030421,"União das freguesias de Refojos de Basto, Outeiro e Painzela"
2,APU0306A,Esposende
3,030601,Antas
3,030610,Gemeses
3,030617,União das freguesias de Belinho e Mar
3,030618,"União das freguesias de Esposende, Marinhas e Gandra"
