fid,objectid,dtcc,municipio,designacao_no_plano,classe_2021,categoria_2021,escala_origem,fonte,area_ha,autor,data_pub_origem,registo_ou_deposito,situacao_pdm,codigo
49026,49026,1309,PAÇOS DE FERREIRA,Espaço Agrícola - Área Agro-florestal,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,1.8103910532308858,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49027,49027,1309,PAÇOS DE FERREIRA,Espaço Agrícola - Área Agro-florestal,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,0.7248372552772752,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49028,49028,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área Mista de Nível 3,Solo Urbano,Não Atribuída,1/10000,CM - Raster,5.448329567191563,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9998
49029,49029,1309,PAÇOS DE FERREIRA,Espaço Florestal - Área Florestal de Proteção,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,7.424466345925816,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49030,49030,1309,PAÇOS DE FERREIRA,Espaço Agrícola - Área Agro-florestal,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,4.997414656531019,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49031,49031,1309,PAÇOS DE FERREIRA,Espaço Agrícola - Área Agrícola Protegida (RAN),Solo Rústico,Espaço Agrícola,1/10000,CM - Raster,3.403905956243165,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,8
49032,49032,1309,PAÇOS DE FERREIRA,Espaço Agrícola - Área Agrícola Protegida (RAN),Solo Rústico,Espaço Agrícola,1/10000,CM - Raster,13.007272806743801,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,8
49033,49033,1309,PAÇOS DE FERREIRA,Indefinido,Solo Rústico,Não Atribuída,1/10000,CM - Raster,15.0216504571327,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9998
49034,49034,1309,PAÇOS DE FERREIRA,Espaço Florestal - Área Florestal de Produção,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,2.8393252755148803,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49035,49035,1309,PAÇOS DE FERREIRA,Espaço Florestal - Área Florestal de Produção,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,0.7114721497951542,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49036,49036,1309,PAÇOS DE FERREIRA,Espaço Florestal - Área Florestal de Produção,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,2.4703687911166807,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49037,49037,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área de Equipamentos,Solo Urbano,Espaço de Uso Especial Equipamentos e Infraestruturas,1/10000,CM - Raster,1.2336640177315101,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,
49038,49038,1309,PAÇOS DE FERREIRA,Espaço Florestal - Área Florestal de Produção,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,3.156374904801184,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49039,49039,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área de Equipamentos,Solo Urbano,Espaço de Uso Especial Equipamentos e Infraestruturas,1/10000,CM - Raster,0.5243256094979238,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,
49040,49040,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área de Equipamentos,Solo Urbano,Espaço de Uso Especial Equipamentos e Infraestruturas,1/10000,CM - Raster,1.666600477994274,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,
49041,49041,1309,PAÇOS DE FERREIRA,Espaço Agrícola - Área Agrícola Protegida (RAN),Solo Rústico,Espaço Agrícola,1/10000,CM - Raster,5.250507330114022,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,8
49042,49042,1309,PAÇOS DE FERREIRA,Espaço de Exploração Minerais - Área de Extração de Pedreiras,Solo Rústico,Espaço de Exploração de Recursos Energéticos e Geológicos,1/10000,CM - Raster,1.206098109969683,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,10
49043,49043,1309,PAÇOS DE FERREIRA,Espaço Florestal - Área Florestal de Produção,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,5.242809482845012,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49044,49044,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área Mista de Nível 3,Solo Urbano,Não Atribuída,1/10000,CM - Raster,4.198191770657781,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9998
49045,49045,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área Mista de Nível 3,Solo Urbano,Não Atribuída,1/10000,CM - Raster,1.7680438759519252,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9998
49046,49046,1309,PAÇOS DE FERREIRA,Espaço Florestal - Área Florestal de Produção,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,1.3539457531779073,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49047,49047,1309,PAÇOS DE FERREIRA,Espaço Florestal - Área Florestal de Produção,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,9.308354287344455,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49048,49048,1309,PAÇOS DE FERREIRA,Espaço Agrícola - Área Agrícola Protegida (RAN),Solo Rústico,Espaço Agrícola,1/10000,CM - Raster,8.252613278244157,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,8
49049,49049,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área de Equipamentos,Solo Urbano,Espaço de Uso Especial Equipamentos e Infraestruturas,1/10000,CM - Raster,0.3096023901561275,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,
49050,49050,1309,PAÇOS DE FERREIRA,Solo Urbanizado - Área de Equipamentos,Solo Urbano,Espaço de Uso Especial Equipamentos e Infraestruturas,1/10000,CM - Raster,1.3955617758787238,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,
49051,49051,1309,PAÇOS DE FERREIRA,Espaço Florestal - Área Florestal de Produção,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,11.661783387926315,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49052,49052,1309,PAÇOS DE FERREIRA,Espaço Florestal - Área Florestal de Produção,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,1.2838103749793024,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49053,49053,1309,PAÇOS DE FERREIRA,Espaço Florestal - Área Florestal de Produção,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,0.4306331453862833,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49054,49054,1309,PAÇOS DE FERREIRA,Espaço Florestal - Área Florestal de Produção,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,3.320078405441623,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49055,49055,1309,PAÇOS DE FERREIRA,Espaço Florestal - Área Florestal de Proteção,Solo Rústico,Espaço Florestal,1/10000,CM - Raster,15.587329061340261,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,9
49056,49056,1309,PAÇOS DE FERREIRA,Espaço Agrícola - Área Agrícola Protegida (RAN),Solo Rústico,Espaço Agrícola,1/10000,CM - Raster,5.728692617320921,DGT,2007-12-05 00:00:00+00:00,01.13.09/169/2011/PDM/03,Vigente,8
