DTMNFR21,dtmnfr25_point,subsections,population_2021
010119,010126,1,17.0
010121,010130,188,11606.0
010121,010133,38,2099.0
010122,010129,23,1158.0
010122,010131,32,1930.0
010123,010128,16,325.0
010123,010132,18,528.0
010123,010134,25,562.0
010126,010119,1,11.0
010501,010508,1,24.0
010501,010517,4,266.0
010505,010517,2,108.0
010508,010515,1,2.0
010508,010516,1,0.0
010515,010508,1,13.0
010515,010513,1,18.0
010516,010508,2,40.0
010517,010501,1,335.0
010606,010607,1,15.0
010606,010612,1,27.0
010607,010608,1,44.0
010610,010606,1,28.0
010610,010613,40,812.0
010610,010614,41,1328.0
010610,010615,57,2040.0
010611,010602,4,191.0
010611,010608,1,39.0
010611,010612,41,1872.0
010611,010616,50,2682.0
010706,010707,118,10084.0
010706,010708,18,1292.0
010808,010810,131,7544.0
010808,010811,56,2359.0
010932,010937,42,2716.0
010932,010944,23,972.0
010933,010938,96,5717.0
010933,010946,59,1712.0
010933,010947,33,1453.0
010934,010939,35,1791.0
010934,010940,31,1048.0
010934,010941,68,5486.0
010934,010942,33,1322.0
010936,010943,31,1984.0
010936,010945,69,4497.0
011109,011110,19,925.0
011109,011111,55,4525.0
011109,011112,27,923.0
011320,011323,42,2687.0
011320,011324,38,2403.0
011509,011510,51,3034.0
011509,011511,228,18148.0
011509,011512,86,6092.0
011509,011513,40,2157.0
011710,011712,35,725.0
011710,011714,24,630.0
011711,011713,17,526.0
011711,011715,53,1406.0
011812,011815,28,932.0
011812,011816,30,1084.0
011813,011817,32,1847.0
011813,011818,23,1036.0
011814,011819,34,1691.0
011814,011820,77,4649.0
020106,020107,143,5027.0
020106,020108,25,759.0
020209,020211,148,3674.0
020209,020214,16,292.0
020210,020212,37,294.0
020210,020213,40,491.0
020807,020809,52,936.0
020807,020812,19,351.0
020808,020810,32,436.0
020808,020811,197,4303.0
021010,021011,59,909.0
021010,021012,86,657.0
021118,021123,4,32.0
021118,021124,66,788.0
021122,021123,34,406.0
021122,021125,39,417.0
021207,021209,34,595.0
021207,021210,30,292.0
021309,021310,57,830.0
021309,021311,144,2605.0
030293,0302FI,28,4568.0
030293,0302FL,26,2589.0
030293,0302FM,25,2661.0
030293,0302FN,18,1531.0
0302FE,0302FJ,18,1013.0
0302FE,0302FK,18,1085.0
030421,030422,11,781.0
030421,030423,14,878.0
030421,030424,73,4915.0
030616,030621,66,4323.0
030616,030625,58,3524.0
030617,030622,40,1802.0
030617,030627,24,1094.0
030618,030624,47,3829.0
030618,030626,32,1473.0
030618,030628,140,6960.0
030620,030623,20,825.0
030620,030629,52,2272.0
030876,030892,28,1533.0
030876,030893,16,787.0
030876,0308FE,19,893.0
030882,030895,24,1409.0
030882,030897,19,1055.0
030885,030896,14,858.0
030885,030898,23,1081.0
030887,030899,35,1634.0
030887,0308FA,35,1673.0
030889,030894,16,1039.0
030889,0308FC,27,1224.0
030891,0308FB,20,938.0
030891,0308FD,22,1477.0
031252,031261,20,1719.0
031252,031266,13,818.0
031254,031262,24,1469.0
031254,031264,28,2147.0
031255,031263,20,1601.0
031255,031265,43,2669.0
031255,031268,12,861.0
031257,031267,14,1094.0
031257,031269,28,1713.0
031409,031410,17,1641.0
031409,031411,17,1719.0
050106,050107,104,2923.0
050106,050108,25,620.0
050227,050232,27,678.0
050227,050235,14,360.0
050228,050233,18,755.0
050228,050234,13,501.0
050230,050236,10,330.0
050230,050237,27,292.0
050332,050339,21,373.0
050332,050342,20,350.0
050333,050340,24,1792.0
050333,050346,32,1420.0
050334,050341,25,322.0
050334,050343,19,276.0
050336,050344,22,608.0
050336,050345,24,648.0
060220,060225,129,7787.0
060220,060226,31,1044.0
060519,060525,96,3336.0
060519,060526,16,772.0
060520,060527,180,8885.0
060520,060530,175,9501.0
060521,060528,60,1249.0
060521,060529,31,868.0
060524,060526,8,187.0
060708,060709,175,10297.0
060708,060710,53,2624.0
061122,061127,50,926.0
061122,061128,20,353.0
070208,070210,25,390.0
070208,070211,30,350.0
070611,070613,47,701.0
070611,070614,44,609.0
070612,070615,145,5848.0
070612,070616,140,4481.0
070612,070617,33,508.0
070909,070911,34,253.0
070909,070912,38,278.0
070910,070913,33,409.0
070910,070914,29,395.0
080507,080509,100,4453.0
080507,080510,123,3878.0
080707,080709,46,952.0
080707,080710,60,1493.0
080812,080813,50,1016.0
080812,080814,35,706.0
080812,080815,34,798.0
081006,081007,29,1517.0
081006,081008,171,7750.0
081309,081311,82,2623.0
081309,081313,90,2372.0
081310,081312,106,3912.0
081310,081314,59,2925.0
081410,081413,56,1473.0
081410,081414,106,1955.0
081411,081415,87,3407.0
081411,081416,65,1323.0
091232,091238,37,895.0
091232,091239,17,470.0
091233,091237,12,201.0
091233,091240,50,2539.0
091233,091241,98,5965.0
100936,100941,32,1020.0
100936,100942,157,4162.0
100940,100943,50,2012.0
100940,100944,115,3567.0
101518,101521,139,2738.0
101518,101522,99,1753.0
101518,101523,132,1548.0
101519,101520,119,1525.0
101519,101524,122,1921.0
101519,101525,117,1269.0
110812,110815,39,1820.0
110812,110816,268,10522.0
111123,111129,252,9253.0
111123,111131,74,3579.0
111123,111132,89,4430.0
111126,111130,210,27171.0
111126,111133,119,25243.0
111127,111134,355,12759.0
111127,111135,122,5234.0
111321,111327,241,9592.0
111321,111329,45,1976.0
111324,111328,106,1841.0
111324,111330,20,946.0
120715,120716,36,1031.0
120715,120717,40,1074.0
121308,121309,245,8503.0
121308,121310,46,1394.0
121308,121311,38,609.0
130530,130533,10,1037.0
130530,130534,46,4778.0
130738,130742,33,807.0
130738,130743,50,1716.0
130811,130815,160,17754.0
130811,130816,91,9174.0
130811,130819,165,17117.0
130812,130818,213,19000.0
130812,130820,197,30034.0
130813,130817,144,10830.0
130813,130821,148,13332.0
130813,130822,59,5484.0
130814,130823,182,22844.0
130814,130824,197,26988.0
130917,130920,28,1819.0
130917,130922,77,4008.0
130918,130924,32,1491.0
130918,130925,95,8178.0
130919,130921,25,1032.0
130919,130923,40,1628.0
130919,130926,65,2884.0
131313,131317,31,2898.0
131313,131319,98,8884.0
131313,131323,34,2471.0
131314,131316,47,4198.0
131314,131321,21,1191.0
131315,131318,23,2198.0
131315,131320,53,4001.0
131315,131322,230,29236.0
131506,131507,168,8889.0
131506,131508,125,6387.0
131632,131640,11,1305.0
131632,131645,17,1106.0
131633,131639,12,912.0
131633,131641,12,1309.0
131634,131642,11,1241.0
131634,131644,11,803.0
131635,131638,17,747.0
131635,131643,22,1896.0
131725,131733,101,10608.0
131725,131744,17,1410.0
131726,131734,95,11572.0
131726,131746,92,10750.0
131727,131736,200,38610.0
131727,131747,100,14234.0
131728,131738,179,18429.0
131728,131743,22,1797.0
131729,131732,21,2411.0
131729,131735,33,2625.0
131729,131737,62,5399.0
131729,131740,80,5521.0
131730,131741,205,30315.0
131730,131742,32,3717.0
131731,131739,59,6346.0
131731,131745,62,7399.0
131809,131812,65,3249.0
131809,131813,38,1520.0
131811,130620,1,33.0
140909,140910,195,7975.0
140909,140911,42,853.0
140909,140912,36,1585.0
141507,141510,68,2919.0
141507,141511,23,809.0
141508,141509,99,4878.0
141508,141512,134,5554.0
141629,141614,3,88.0
141634,141614,3,126.0
141634,141635,73,1490.0
141634,141636,26,1009.0
141820,141822,55,865.0
141820,141823,108,1106.0
142120,142125,44,987.0
142120,142127,97,1749.0
142121,142124,31,691.0
142121,142126,56,927.0
142122,142123,66,814.0
142122,142128,94,1478.0
150107,150108,180,3455.0
150107,150109,178,4007.0
150107,150110,48,271.0
150913,150914,50,670.0
150913,150915,40,500.0
151007,151008,208,28557.0
151007,151009,75,13670.0
151007,151010,45,3375.0
160626,160602,2,4.0
160728,160707,4,77.0
160728,160739,1,0.0
160746,160707,1,0.0
160746,160728,1,0.0
160754,160761,13,208.0
160754,160762,17,390.0
160754,160763,18,305.0
160941,160949,51,3675.0
160941,160951,31,1026.0
160942,160950,22,1341.0
160942,160953,15,809.0
160944,160952,18,1205.0
160944,160954,18,1289.0
170816,170817,22,502.0
170816,170818,34,690.0
171111,171113,34,982.0
171111,171114,35,1216.0
171111,171115,19,295.0
182011,182015,23,330.0
182011,182017,22,368.0
182013,182014,21,821.0
182013,182016,112,3512.0
182127,182134,71,759.0
182127,182138,28,441.0
182131,182136,34,475.0
182131,182137,45,739.0
182133,182135,26,473.0
182133,182139,47,872.0
